Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name,,,,,,
42,1976,DN,,1300,66 x 60,4,05 35.4,-05 23,Ori,Wi.,Peiresc,1610,The Orion nebula,,398.5732989051
43,1982,DN,,1300,20 x 15,9,05 35.6,-05 16,Ori,Wi.,de Mairan,1731,The Orion nebula,,398.5732989051
44,2632,OC,d,520,95,3.7,08 40.3,+19 49,Cnc,Sp.,?,Ancient,Praesepe,,159.429319562
45,Mel. 22,OC,c,410,100,1.4,03 47.1,+24 07,Tau,Wi.,?,Ancient,Pleiades,,125.7038865778
46,2437,OC,f,5930,24,6,07 41.8,-14 49,Pup,Wi.,Messier,1771,,,1818.1074326979
47,2422,OC,d,3740,25,4.5,07 36.6,-14 29,Pup,Wi.,Messier,1771,,,1146.6647214655
48,2548,OC,f,3090,30,5.3,08 13.7,-05 47,Hya,Sp.,Messier,1771,,,947.3780720129
49,4472,GX,E4,41000000,2.8 x 1.8,8.6,12 29.7,+07 59,Vir,Sp.,Messier,1771,,,12570388.6577763
50,2323,OC,e,2600,16,6.9,07 03.0,-08 20,Mon,Wi.,Messier,1772,,,797.1465978102
51,5194,GX,Sbc,25100000,11.2 x 6.9,8.1,13 29.9,+47 12,CVn,Sp.,Messier,1773,Whirlpool galaxy,,7695530.61732161
52,7654,OC,e,3810,12,7.3,23 24.2,+61 35,Cas,Au.,Messier,1774,,,1168.1263606373
53,5024,GC,V,65000,10,7.6,13 12.9,+18 10,Com,Sp.,Bode,1775,,,19928.6649452552
54,6715,GC,III,49000,2.1,7.3,18 55.2,-30 28,Sgr,Su.,Messier,1778,,,15023.1474202693
55,6809,GC,XI,19000,10,7.6,19 40.1,-30 56,Sgr,Su.,Lacaille,1751,,,5825.3020609207
56,6779,GC,X,34000,5,8.2,19 16.6,+30 10,Lyr,Su.,Messier,1779,,,10424.224740595
57,6720,PN,IV,2150,1.2 x 1,9.3,18 53.6,+33 02,Lyr,Su.,Darquier,1779,Ring nebula,,659.17891742
58,4579,GX,SBc,41000000,4.4 x 3.5,9.2,12 37.5,+11 49,Vir,Sp.,Messier,1779,,,12570388.6577763
59,4621,GX,E3,41000000,2.7 x 1.6,9.6,12 42.0,+11 39,Vir,Sp.,Koehler,1779,,,12570388.6577763
60,4649,GX,E1,41000000,2 x 1.8,8.9,12 43.6,+11 33,Vir,Sp.,Koehler,1779,,,12570388.6577763
61,4303,GX,Sc,41000000,5.6 x 5.3,10.1,12 22.0,+04 28,Vir,Sp.,Oriani,1779,,,12570388.6577763
